job_id	dataset	horizon	variant	seed	status
034_ETTm2_pl720_FixedGate_s2021	ETTm2	720	FixedGate	2021	pending
035_ETTm2_pl720_NoDynFilt_s2021	ETTm2	720	NoDynFilt	2021	pending
036_ETTm2_pl720_NoDynFilt_s2022	ETTm2	720	NoDynFilt	2022	pending
037_ETTm2_pl720_NoDynFilt_s2023	ETTm2	720	NoDynFilt	2023	pending
038_ETTm2_pl720_WrongPhase_s2021	ETTm2	720	WrongPhase	2021	pending
039_ETTm2_pl720_DynamicOnly_s2021	ETTm2	720	DynamicOnly	2021	pending
040_ECL_pl96_Full_s2021	ECL	96	Full	2021	pending
041_ECL_pl96_Full_s2022	ECL	96	Full	2022	pending
042_ECL_pl96_Full_s2023	ECL	96	Full	2023	pending
043_ECL_pl96_NoSDE_s2021	ECL	96	NoSDE	2021	pending
044_ECL_pl96_NoSDE_s2022	ECL	96	NoSDE	2022	pending
045_ECL_pl96_NoSDE_s2023	ECL	96	NoSDE	2023	pending
046_ECL_pl96_GlobalOnly_s2021	ECL	96	GlobalOnly	2021	pending
047_ECL_pl96_FixedGate_s2021	ECL	96	FixedGate	2021	pending
048_ECL_pl96_NoDynFilt_s2021	ECL	96	NoDynFilt	2021	pending
049_ECL_pl96_NoDynFilt_s2022	ECL	96	NoDynFilt	2022	pending
050_ECL_pl96_NoDynFilt_s2023	ECL	96	NoDynFilt	2023	pending
051_ECL_pl96_WrongPhase_s2021	ECL	96	WrongPhase	2021	pending
052_ECL_pl96_DynamicOnly_s2021	ECL	96	DynamicOnly	2021	pending
053_ECL_pl336_Full_s2021	ECL	336	Full	2021	pending
054_ECL_pl336_Full_s2022	ECL	336	Full	2022	pending
055_ECL_pl336_Full_s2023	ECL	336	Full	2023	pending
056_ECL_pl336_NoSDE_s2021	ECL	336	NoSDE	2021	pending
057_ECL_pl336_NoSDE_s2022	ECL	336	NoSDE	2022	pending
058_ECL_pl336_NoSDE_s2023	ECL	336	NoSDE	2023	pending
059_ECL_pl336_GlobalOnly_s2021	ECL	336	GlobalOnly	2021	pending
060_ECL_pl336_FixedGate_s2021	ECL	336	FixedGate	2021	pending
061_ECL_pl336_NoDynFilt_s2021	ECL	336	NoDynFilt	2021	pending
062_ECL_pl336_NoDynFilt_s2022	ECL	336	NoDynFilt	2022	pending
063_ECL_pl336_NoDynFilt_s2023	ECL	336	NoDynFilt	2023	pending
064_ECL_pl336_WrongPhase_s2021	ECL	336	WrongPhase	2021	pending
065_ECL_pl336_DynamicOnly_s2021	ECL	336	DynamicOnly	2021	pending
066_ECL_pl720_Full_s2021	ECL	720	Full	2021	pending
067_ECL_pl720_Full_s2022	ECL	720	Full	2022	pending
068_ECL_pl720_Full_s2023	ECL	720	Full	2023	pending
069_ECL_pl720_NoSDE_s2021	ECL	720	NoSDE	2021	pending
070_ECL_pl720_NoSDE_s2022	ECL	720	NoSDE	2022	pending
071_ECL_pl720_NoSDE_s2023	ECL	720	NoSDE	2023	pending
072_ECL_pl720_GlobalOnly_s2021	ECL	720	GlobalOnly	2021	pending
073_ECL_pl720_FixedGate_s2021	ECL	720	FixedGate	2021	pending
074_ECL_pl720_NoDynFilt_s2021	ECL	720	NoDynFilt	2021	pending
075_ECL_pl720_NoDynFilt_s2022	ECL	720	NoDynFilt	2022	pending
076_ECL_pl720_NoDynFilt_s2023	ECL	720	NoDynFilt	2023	pending
077_ECL_pl720_WrongPhase_s2021	ECL	720	WrongPhase	2021	pending
078_ECL_pl720_DynamicOnly_s2021	ECL	720	DynamicOnly	2021	pending
079_Traffic_pl96_Full_s2021	Traffic	96	Full	2021	pending
080_Traffic_pl96_Full_s2022	Traffic	96	Full	2022	pending
081_Traffic_pl96_Full_s2023	Traffic	96	Full	2023	pending
082_Traffic_pl96_NoSDE_s2021	Traffic	96	NoSDE	2021	pending
083_Traffic_pl96_NoSDE_s2022	Traffic	96	NoSDE	2022	pending
084_Traffic_pl96_NoSDE_s2023	Traffic	96	NoSDE	2023	pending
085_Traffic_pl96_GlobalOnly_s2021	Traffic	96	GlobalOnly	2021	pending
086_Traffic_pl96_FixedGate_s2021	Traffic	96	FixedGate	2021	pending
087_Traffic_pl96_NoDynFilt_s2021	Traffic	96	NoDynFilt	2021	pending
088_Traffic_pl96_NoDynFilt_s2022	Traffic	96	NoDynFilt	2022	pending
089_Traffic_pl96_NoDynFilt_s2023	Traffic	96	NoDynFilt	2023	pending
090_Traffic_pl96_WrongPhase_s2021	Traffic	96	WrongPhase	2021	pending
091_Traffic_pl96_DynamicOnly_s2021	Traffic	96	DynamicOnly	2021	pending
092_Traffic_pl336_Full_s2021	Traffic	336	Full	2021	pending
093_Traffic_pl336_Full_s2022	Traffic	336	Full	2022	pending
094_Traffic_pl336_Full_s2023	Traffic	336	Full	2023	pending
095_Traffic_pl336_NoSDE_s2021	Traffic	336	NoSDE	2021	pending
096_Traffic_pl336_NoSDE_s2022	Traffic	336	NoSDE	2022	pending
097_Traffic_pl336_NoSDE_s2023	Traffic	336	NoSDE	2023	pending
098_Traffic_pl336_GlobalOnly_s2021	Traffic	336	GlobalOnly	2021	pending
099_Traffic_pl336_FixedGate_s2021	Traffic	336	FixedGate	2021	pending
100_Traffic_pl336_NoDynFilt_s2021	Traffic	336	NoDynFilt	2021	pending
101_Traffic_pl336_NoDynFilt_s2022	Traffic	336	NoDynFilt	2022	pending
102_Traffic_pl336_NoDynFilt_s2023	Traffic	336	NoDynFilt	2023	pending
103_Traffic_pl336_WrongPhase_s2021	Traffic	336	WrongPhase	2021	pending
104_Traffic_pl336_DynamicOnly_s2021	Traffic	336	DynamicOnly	2021	pending
105_Traffic_pl720_Full_s2021	Traffic	720	Full	2021	pending
106_Traffic_pl720_Full_s2022	Traffic	720	Full	2022	pending
107_Traffic_pl720_Full_s2023	Traffic	720	Full	2023	pending
108_Traffic_pl720_NoSDE_s2021	Traffic	720	NoSDE	2021	pending
109_Traffic_pl720_NoSDE_s2022	Traffic	720	NoSDE	2022	pending
110_Traffic_pl720_NoSDE_s2023	Traffic	720	NoSDE	2023	pending
111_Traffic_pl720_GlobalOnly_s2021	Traffic	720	GlobalOnly	2021	pending
112_Traffic_pl720_FixedGate_s2021	Traffic	720	FixedGate	2021	pending
113_Traffic_pl720_NoDynFilt_s2021	Traffic	720	NoDynFilt	2021	pending
114_Traffic_pl720_NoDynFilt_s2022	Traffic	720	NoDynFilt	2022	pending
115_Traffic_pl720_NoDynFilt_s2023	Traffic	720	NoDynFilt	2023	pending
116_Traffic_pl720_WrongPhase_s2021	Traffic	720	WrongPhase	2021	pending
117_Traffic_pl720_DynamicOnly_s2021	Traffic	720	DynamicOnly	2021	pending
